Material	U	c1	c2	JFP
r-TiO2	1.530612244897959	0.6326530612244898	-0.5020408163265306	2.6312127959720555
r-TiO2	1.6326530612244898	0.6632653061224489	-0.5020408163265306	2.54975362721895
r-TiO2	1.7346938775510203	0.6938775510204083	-0.5020408163265306	2.471441140496912
r-TiO2	1.836734693877551	0.7142857142857143	-0.5020408163265306	2.40666042823418
r-TiO2	1.9387755102040816	0.7142857142857143	-0.4897959183673469	2.2416768461439704
r-TiO2	2.0408163265306123	0.7346938775510204	-0.4897959183673469	2.021206839355511
r-TiO2	2.142857142857143	0.7551020408163265	-0.4897959183673469	1.8306551840181475
r-TiO2	2.2448979591836737	0.7653061224489797	-0.4897959183673469	1.6751440906814454
r-TiO2	2.346938775510204	0.7755102040816326	-0.4897959183673469	1.564833323354819
r-TiO2	2.4489795918367347	0.7959183673469388	-0.4897959183673469	1.496198913250533
r-TiO2	2.5510204081632653	0.8061224489795918	-0.4897959183673469	1.4638603817433362
r-TiO2	2.653061224489796	0.8163265306122449	-0.4897959183673469	1.4583175571172504
r-TiO2	2.7551020408163267	0.826530612244898	-0.4897959183673469	1.4676203284465337
r-TiO2	2.857142857142857	0.8367346938775511	-0.4897959183673469	1.483454866603754
r-TiO2	2.959183673469388	0.8469387755102041	-0.4897959183673469	1.50404590630934
r-TiO2	3.0612244897959187	0.8571428571428572	-0.4897959183673469	1.53466573255707
r-TiO2	3.163265306122449	0.8571428571428572	-0.4897959183673469	1.5838163639050105
r-TiO2	3.26530612244898	0.8673469387755102	-0.4897959183673469	1.6577918186348155
r-TiO2	3.36734693877551	0.9081632653061223	-0.5142857142857142	1.6639647649402058
r-TiO2	3.4693877551020407	0.9183673469387756	-0.5142857142857142	1.6017407607064342
r-TiO2	3.571428571428572	0.9285714285714286	-0.5142857142857142	1.5805584397598105
r-TiO2	3.673469387755102	0.9285714285714286	-0.5142857142857142	1.5872085481263245
r-TiO2	3.7755102040816326	0.9387755102040816	-0.5142857142857142	1.606952829975976
r-TiO2	3.877551020408164	0.9489795918367347	-0.5142857142857142	1.6394028617092606
r-TiO2	3.979591836734694	0.9489795918367347	-0.5142857142857142	1.661589806351601
r-TiO2	4.081632653061225	0.9591836734693876	-0.5142857142857142	1.6906408270421098
r-TiO2	4.183673469387755	0.9591836734693876	-0.5142857142857142	1.7123585964197416
r-TiO2	4.285714285714286	0.9693877551020408	-0.5142857142857142	1.748391619906529
r-TiO2	4.387755102040816	0.9693877551020408	-0.5142857142857142	1.787698124602779
r-TiO2	4.489795918367348	0.9693877551020408	-0.5142857142857142	1.8555541320233948
r-TiO2	4.591836734693878	0.979591836734694	-0.5142857142857142	1.9370630959374544
r-TiO2	4.6938775510204085	0.979591836734694	-0.5142857142857142	2.050826999483609
r-TiO2	4.795918367346939	0.9693877551020408	-0.5020408163265306	2.128723756296905
r-TiO2	4.8979591836734695	0.9693877551020408	-0.5020408163265306	2.230794664170105
r-TiO2	5.0	0.979591836734694	-0.5020408163265306	2.347941229646973
CeO2	0.0	1.0	-0.0244897959183673	6.240554429136349
CeO2	0.1020408163265306	0.5	-0.0244897959183673	5.922431490863518
CeO2	0.2040816326530612	0.5	-0.0244897959183673	5.908769761787028
CeO2	0.3061224489795918	0.5	-0.0244897959183673	5.899919584911307
CeO2	0.4081632653061224	0.5	0.0	5.868864972700279
CeO2	0.5102040816326531	0.5	0.0	5.808262148444249
CeO2	0.6122448979591837	0.5	0.0	5.756815379259327
CeO2	0.7142857142857143	0.5	-0.1224489795918367	5.696020721069979
CeO2	0.8163265306122449	0.5	-0.1346938775510204	5.613617186039932
CeO2	0.9183673469387756	0.5	-0.146938775510204	5.535353133727659
CeO2	1.020408163265306	0.5	-0.1591836734693877	5.462257171593399
CeO2	1.1224489795918369	0.5	-0.1714285714285714	5.392930360341953
CeO2	1.2244897959183674	0.5	-0.183673469387755	5.326027278237949
CeO2	1.326530612244898	0.5	-0.1959183673469387	5.2623658212321685
