Support	U	c1	c2	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3	DFT+U_x1	DFT+U_x2	DFT+U_x3	DFT+U_x4	DFT+U_x5	DFT+U_x6	DFT+U_x7	DFT+U_p1	DFT+U_p2	DFT+U_p3	SISSO_x1	SISSO_x2	SISSO_x3	SISSO_x4	SISSO_x5	SISSO_x6	SISSO_x7	SISSO_p1	SISSO_p2	SISSO_p3	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval
a-TiO2	2.5	0.9	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.1416	0.12607	0.30897	0.12607	0.29216	0	0	1.569655	1.5854	1.569655	0.148052824	0.09762717	0.282545241	0.103296147	0.262628996	-9.35036E-07	-1.27976E-06	1.611509823	1.626175059	1.603029689	147	1.54	3	5	0	2	2.7
a-TiO2	3	0.9	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.13786	0.12297	0.31034	0.12297	0.29432	0	0	1.55149	1.572565	1.55149	0.15254925	0.086576887	0.270457691	0.099588294	0.254966006	-9.35036E-07	-1.27976E-06	1.606462143	1.632971736	1.594759207	147	1.54	3	5	0	2	2.7
a-TiO2	0.5	1.1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.20745	0.18395	0.41417	0.18394	0.37782	0	0	1.66262	1.64904	1.66262	0.186755772	0.204551625	0.426681433	0.189532729	0.355329186	-9.35036E-07	-1.27976E-06	1.656303729	1.676362031	1.658705951	147	1.54	3	5	0	2	2.7
a-TiO2	1	1.1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.19674	0.17233	0.40099	0.17233	0.35208	0	0	1.69061	1.66217	1.69061	0.179363594	0.198409023	0.398706823	0.189148809	0.335678436	-9.35036E-07	-1.27976E-06	1.698506461	1.702880351	1.689601167	147	1.54	3	5	0	2	2.7
a-TiO2	1.5	1.1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.18653	0.16134	0.38263	0.16134	0.31925	0	0	1.722675	1.678995	1.72268	0.171971415	0.192088728	0.370882621	0.18810674	0.316027685	-9.35036E-07	-1.27976E-06	1.720461662	1.721447198	1.720249527	147	1.54	3	5	0	2	2.7
a-TiO2	2	1.1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.17679	0.15112	0.35759	0.15111	0.28168	0	0	1.7586	1.70079	1.758605	0.164579237	0.185377507	0.343389317	0.18607745	0.296376935	-9.35036E-07	-1.27976E-06	1.753130005	1.734650764	1.750438788	147	1.54	3	5	0	2	2.7
a-TiO2	2.5	1.1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.16784	0.14166	0.32558	0.14166	0.24413	0	0	1.796705	1.72753	1.79671	0.157187058	0.177976835	0.316479597	0.182731862	0.276726185	-9.35036E-07	-1.27976E-06	1.765985921	1.744113418	1.780153253	147	1.54	3	5	0	2	2.7
a-TiO2	3	1.1	0	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.15923	0.1329	0.28998	0.1329	0.21039	0	0	1.83514	1.75795	1.835145	0.14979488	0.169502895	0.290478343	0.177740903	0.257075435	-9.35036E-07	-1.27976E-06	1.79305904	1.750910094	1.809408141	147	1.54	3	5	0	2	2.7
a-TiO2	0.5	1.1	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.22858	0.20317	0.4545	0.20317	0.42642	0	0	1.634555	1.6341	1.634555	0.198644376	0.204522566	0.510457966	0.174971579	0.421312193	-9.35036E-07	-1.27976E-06	1.63031083	1.558423672	1.639629247	147	1.54	3	5	0	2	2.7
a-TiO2	1	1.1	-0.5	0.18052	0.16199	0.35026	0.16199	0.3281	0	0	1.63806	1.63847	1.638065	0.22086	0.19572	0.46101	0.19572	0.43051	0	0	1.63073	1.629715	1.63073	0.203140802	0.197944091	0.483069819	0.178274802	0.409390877	-9.35036E-07	-1.27976E-06	1.640392762	1.584941993	1.640944473	147	1.54	3	5	0	2	2.7
