Material	U	c1	c2	R	EN	QN	Subshell	Ion_OE	Auxiliary_type	Auxiliary_zval	DFT_x1	DFT_x2	DFT_x3	DFT_x4	DFT_x5	DFT_x6	DFT_x7	DFT_p1	DFT_p2	DFT_p3
Y2O3	2.959183673	0.887755102	-0.257142857	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
Y2O3	3.06122449	0.897959184	-0.269387755	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
Y2O3	3.367346939	0.93877551	-0.318367347	180	1.22	4	5	0	1	4	0.0703275	0.0703275	0.03798	0.070325	0.0379775	0	0	1.74411875	1.744116667	1.74411
LiCoO2	1.020408163	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiCoO2	1.530612245	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiCoO2	1.836734694	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiCoO2	2.244897959	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiCoO2	2.653061224	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiCoO2	2.755102041	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiCoO2	2.857142857	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiCoO2	2.959183673	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiCoO2	3.06122449	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiCoO2	3.367346939	1	0	135	1.88	3	5	6	2	5.4	1.45115	0.99449	2.02141	1.09468	1.54812	0	0	1.63215	1.73854	1.63526
LiFePO4	1.020408163	0.87755102	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
LiFePO4	1.530612245	0.979591837	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
LiFePO4	1.836734694	1	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
LiFePO4	2.244897959	1	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
LiFePO4	2.653061224	1	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
LiFePO4	2.755102041	1	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
LiFePO4	2.857142857	1	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
LiFePO4	2.959183673	1	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
LiFePO4	3.06122449	1	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
LiFePO4	3.367346939	1	-0.6	139	1.55	3	5	6	2	3.2	1.38009	0.83042	2.02457	0.82655	1.35811	0	0	1.4651475	1.408155	1.43974
