U	c1	c2	JFP
3.775510204	0.959183673	-0.575510204	1.443811137
4.387755102	0.969387755	-0.563265306	1.444192667
3.775510204	0.948979592	-0.575510204	1.444744145
4.591836735	0.959183673	-0.514285714	1.444926922
4.387755102	1	-0.575510204	1.445224755
3.673469388	0.908163265	-0.575510204	1.445462072
4.387755102	0.959183673	-0.551020408	1.446640675
4.387755102	0.989795918	-0.575510204	1.446919343
4.897959184	0.969387755	-0.53877551	1.447249696
4.489795918	0.897959184	-0.502040816	1.447795776
3.673469388	0.908163265	-0.551020408	1.447995122
3.367346939	0.908163265	-0.6	1.452122983
4.795918367	0.989795918	-0.526530612	1.453024324
3.469387755	0.948979592	-0.563265306	1.453387871
3.469387755	0.908163265	-0.551020408	1.454744117
3.367346939	0.897959184	-0.575510204	1.45491632
3.469387755	0.87755102	-0.551020408	1.455273529
3.571428571	0.928571429	-0.551020408	1.456212152
4.591836735	1	-0.6	1.456544802
3.571428571	0.887755102	-0.575510204	1.45728995
3.673469388	0.918367347	-0.551020408	1.458377512
4.795918367	0.857142857	-0.47755102	1.459935122
